DateKey,HourStart,Temp_DegCelsius
20150101,0,19
20150101,1,18.75
20150101,2,17.25
20150101,3,16.5
20150101,4,16.5
20150101,5,17
20150101,6,17
20150101,7,17.75
20150101,8,18.75
20150101,9,19.25
20150101,10,20
20150101,11,20.5
20150101,12,20.75
20150101,13,21
20150101,14,20.75
20150101,15,20.5
20150101,16,20
20150101,17,19.5
20150101,18,18.75
20150101,19,18
20150101,20,16.5
20150101,21,16.25
20150101,22,15
20150101,23,14.5
20150102,0,14
20150102,1,13.5
20150102,2,13.25
20150102,3,12.75
20150102,4,12.75
20150102,5,12.5
20150102,6,13.25
20150102,7,15
20150102,8,17.75
20150102,9,18.75
20150102,10,20
20150102,11,21
20150102,12,21.75
20150102,13,22.25
20150102,14,22.5
20150102,15,22.25
20150102,16,21.75
20150102,17,21.25
20150102,18,20
20150102,19,18.75
20150102,20,17.5
20150102,21,17.25
20150102,22,16.25
20150102,23,16
20150103,0,15.5
20150103,1,14.75
20150103,2,15
20150103,3,15.25
20150103,4,15
20150103,5,15.25
20150103,6,15.25
20150103,7,16.75
20150103,8,17.75
20150103,9,19.5
20150103,10,20.5
20150103,11,21
20150103,12,20.75
20150103,13,20.75
20150103,14,21.25
20150103,15,21
20150103,16,20.75
20150103,17,20.25
20150103,18,20.25
20150103,19,19.5
20150103,20,18
20150103,21,17.5
20150103,22,17.25
20150103,23,16.75
20150104,0,16
20150104,1,15.75
20150104,2,15.75
20150104,3,15.25
20150104,4,15
20150104,5,14.5
20150104,6,14.75
20150104,7,16.75
20150104,8,19.5
20150104,9,21
20150104,10,21.75
20150104,11,22.25
20150104,12,23.25
20150104,13,23.75
20150104,14,23.75
20150104,15,24
20150104,16,23.25
20150104,17,22.5
20150104,18,22
20150104,19,21
20150104,20,19.5
20150104,21,19.25
20150104,22,18.75
20150104,23,17.75
20150105,0,17.75
20150105,1,17.25
20150105,2,16.5
20150105,3,16.75
20150105,4,16.75
20150105,5,16.5
20150105,6,16.5
20150105,7,18
20150105,8,19
20150105,9,20
20150105,10,21.75
20150105,11,22
20150105,12,22.75
20150105,13,23.75
20150105,14,23.75
20150105,15,23.5
20150105,16,23
20150105,17,22.5
20150105,18,21
20150105,19,19.5
20150105,20,18.5
20150105,21,17.75
20150105,22,17.25
20150105,23,16.75
20150106,0,16.75
20150106,1,16
20150106,2,16
20150106,3,15.5
20150106,4,15
20150106,5,14.75
20150106,6,15.25
20150106,7,17.5
20150106,8,20.25
20150106,9,20.75
20150106,10,21.5
20150106,11,22.5
20150106,12,23
20150106,13,23.25
20150106,14,23
20150106,15,23
20150106,16,22.5
20150106,17,23.25
20150106,18,22.5
20150106,19,20.75
20150106,20,19
20150106,21,18.25
20150106,22,18
20150106,23,17.75
20150107,0,16.75
20150107,1,16.5
20150107,2,16
20150107,3,16
20150107,4,15.75
20150107,5,15.5
20150107,6,15.75
20150107,7,18
20150107,8,19.5
20150107,9,21.25
20150107,10,21.75
20150107,11,23.25
20150107,12,23.25
20150107,13,24.25
20150107,14,24.5
20150107,15,23.5
20150107,16,23
20150107,17,22
20150107,18,21
20150107,19,19.5
20150107,20,18
20150107,21,17.5
20150107,22,17
20150107,23,16.5
20150108,0,16.5
20150108,1,16.75
20150108,2,16.25
20150108,3,16
20150108,4,15.25
